% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=178661, Fri Jul  3 18:59:00 2026, <python>{}</python>
1 30 0.2953716468772789 1.0000499065483206 -2.234051360562444 -2.2340513605624439e+00 -0.8206200646609068 -0.5349325518589467 0.24285344127565622 -0.9727178382873536 nan 303.1   
2 60 0.29125768563214793 1.0000499065483206 -2.9562537609040733 -2.9562537609040733e+00 -0.941320826895535 -0.5151973520033062 0.427633026763797 -1.3017929632216694 nan 617.3   
3 90 0.28755855910922523 1.0000499065483206 -5.585078730136156 -5.5850787301361562e+00 -1.8410772354155778 -0.5687188796326519 1.0946190828084943 -2.2633262856304643 nan 937.9   
4 120 0.28420195385693764 1.0000499065483206 -6.312351481765509 -6.3123514817655089e+00 -2.4073166002333166 -0.8909520268440247 2.851413134783506 -4.374551327228546 nan 1278.0   
5 150 0.2811263715835387 1.0053214103791768 -6.80228400528431 -6.8022840052843101e+00 -4.573053861409425 -1.4028328593820332 1.9271624263376 -5.658315917104483 nan 1638.2   
6 180 0.27825375061953034 1.0053214103791768 -7.085755628943444 -7.0857556289434438e+00 -5.60271182268858 -3.1635240812599656 1.1213754083216187 -6.185574770867825 nan 2015.5   
7 210 0.275657231363346 1.0053214103791768 -7.7469384026527415 -7.7469384026527415e+00 -5.794873951226473 -3.418256636410952 1.6176339931786057 -6.631848620474338 nan 2392.4   
8 240 0.27329931171906885 1.0053214103791768 -8.010062419176101 -8.0100624191761014e+00 -6.556461097896099 -3.804461645781994 0.7972318105399614 -6.767469377219677 nan 2775.6   
9 270 0.27113336581909453 1.0060873882285382 -9.135816287249327 -9.1358162872493267e+00 -6.7974559064209465 -5.055826689004898 0.43236355051398245 -6.96666452601552 nan 3162.6   
10 300 0.2691566495966443 1.0060873882285382 -9.135816287249327 -7.7745908026397235e+00 -6.840776786804199 -4.909268233329058 0.8293077538907525 -7.29235589236021 nan 3547.0   
11 330 0.2673000351491374 1.0060873882285382 -9.135816287249327 -8.0757210241258157e+00 -7.304212773442268 -6.365687188506126 0.521436964720488 -7.544254731535911 nan 3938.6   
12 360 0.265490827954356 1.0060873882285382 -9.135816287249327 -7.9537331570684913e+00 -7.272124718278647 -6.123328736424446 0.6442243193089965 -7.708443157076836 nan 4330.9   
13 390 0.2637572517978297 1.0072824412836852 -9.434385144412516 -9.4343851444125164e+00 -7.286477598994971 -6.099881416261196 0.6216158321499821 -7.605833541601896 nan 4723.6   
14 420 0.262127443067496 1.0072824412836852 -9.585162390470504 -9.5851623904705043e+00 -7.378740028887988 -6.132916968762874 0.7805986411869537 -7.929461109638215 nan 5116.7   
15 450 0.26067373496392354 1.0072824412836852 -10.179114301502704 -1.0179114301502704e+01 -7.5365698187053205 -6.189503535330296 1.0689275467395793 -8.380654688030482 nan 5511.0   
16 480 0.2593474275383985 1.0072824412836852 -10.179114301502704 -9.2487862303853028e+00 -7.944301970154047 -5.398861878365278 0.729861702173948 -8.191863854080438 nan 5908.7   
17 510 0.25808463891384886 1.0088296694842354 -10.179114301502704 -9.6161706165969374e+00 -8.090202161818743 -6.870301916599274 0.8278115090727809 -8.532321000546217 nan 6304.3   
18 540 0.25688613714375513 1.0088296694842354 -10.179114301502704 -9.1145867794752107e+00 -7.904170212894678 -6.769713055044413 0.9567487217485908 -8.653510696142913 nan 6732.4   
19 570 0.25576025682011205 1.0088296694842354 -10.179114301502704 -1.0086368210315705e+01 -8.100870152264834 -6.666603398621082 0.7040496060252197 -8.515220444053412 nan 7295.3   
20 600 0.2546563090717426 1.0088296694842354 -10.179114301502704 -9.5172801227867616e+00 -8.356426516026259 -5.1546088796854015 1.2073273769021036 -8.906296463757753 nan 7857.0   
21 630 0.25357396473975286 1.0106798709742497 -10.179114301502704 -1.0052482323050498e+01 -7.877671131491661 -6.385860776305199 0.6378662464022646 -8.34192566126585 nan 8420.9   
22 660 0.2524980243731363 1.0106798709742497 -10.537667661905289 -1.0537667661905289e+01 -7.985259279757738 -6.490732585340738 0.557441848218442 -8.311902853995562 nan 8984.6   
23 690 0.2515755438058152 1.0106798709742497 -10.537667661905289 -1.0461181638389826e+01 -7.88922802835703 -6.051781056523323 1.2020065502822401 -8.472629116624594 nan 9424.4   
24 720 0.25064251786032504 1.0106798709742497 -10.537667661905289 -1.0005722742378712e+01 -8.163334860354663 -6.713721300512552 1.132393312156199 -8.931141742765902 nan 9957.3   
25 750 0.24976461245142498 1.0125972299028816 -10.537667661905289 -9.3190572752058500e+00 -8.237120561301708 -6.762662785649299 0.9479784242808815 -8.604224782735109 nan 10354.3   
26 780 0.2490042461652294 1.0125972299028816 -10.848625115454197 -1.0848625115454197e+01 -8.393090264350176 -7.422067424356937 0.8004944352805623 -8.81224969819188 nan 10750.2   
27 810 0.2482782135926883 1.0125972299028816 -10.848625115454197 -1.0255772979110480e+01 -8.628418011516333 -7.010116787105799 1.1282041651010513 -9.225299130380154 nan 11148.7   
28 840 0.24766563778879527 1.0125972299028816 -11.750966592729092 -1.1750966592729092e+01 -8.292923508286476 -6.767639208287001 0.9372363646328443 -8.880376840382814 nan 11549.5   
29 870 0.24704634336142506 1.0147991701801757 -11.750966592729092 -1.1701261494159699e+01 -9.212145674228669 -6.651074109226466 1.4504615314304843 -9.900793965160847 nan 11951.2   
30 900 0.24641548817089468 1.0147991701801757 -11.750966592729092 -1.0950714104622602e+01 -8.77380806773901 -7.301552793830633 1.2553495217859751 -9.353227134793997 nan 12353.0   
31 930 0.2458527187644327 1.0147991701801757 -11.750966592729092 -1.0754316681176423e+01 -8.640902170389891 -6.826988938301802 1.2894012270867812 -9.415633236169814 nan 12754.2   
